CommentID,Dataset,comment,FinalLabels,target,Discredit,Stereotyping,Harassment,Dominance,Threats,Blaming,Maternal,Damning,Objectification,Appearance,AntiLGBTQ,chatgpt_classification,chatgpt_confidence,chatgpt_reasoning
2969,lgbtq-keywords,This shit still not gay enough,Anti-LGBTQ+: Hatred against LGBTQ+ or using LGBTQ+ words/ slangs for insults,1,0,0,0,0,0,0,0,0,0,0,1,Anti-LGBTQ+,0.9,"The comment uses 'gay' in a derogatory manner, indicating a negative sentiment towards LGBTQ+ content or context, which classifies it as Anti-LGBTQ+."
3017,lgbtq-keywords,"The Doom in pit of trial can instant kill you no matter what happens"",""1.) go to pit, pick someone tanky like dk2.) right path3.) see the Doom4.) let it use doom on you5.) wait6.) you die when the doom effect is not over yet, and you're at 1005 hp7.) give me back 2k gems you cocksucker",Anti-LGBTQ+: Hatred against LGBTQ+ or using LGBTQ+ words/ slangs for insults,1,0,0,0,0,0,0,0,0,0,0,1,Sexual Harassment,0.85,The use of the term 'cocksucker' in an aggressive context qualifies this comment as sexual harassment. It refers to sexuality in a derogatory and aggressive manner.
2775,lgbtq-keywords,U fuckin faggot I swear to God I'll find u,Anti-LGBTQ+: Hatred against LGBTQ+ or using LGBTQ+ words/ slangs for insults,1,0,0,0,0,0,0,0,0,0,0,1,Threats of violence,0.95,"The comment contains a direct threat ('I swear to God I'll find u') combined with the use of a derogatory term ('faggot') which also suggests anti-LGBTQ+ sentiment. However, the primary intent appears to be threatening, hence the classification."
3275,lgbtq-keywords,"gay shit, this is gay",Anti-LGBTQ+: Hatred against LGBTQ+ or using LGBTQ+ words/ slangs for insults,1,0,0,0,0,0,0,0,0,0,0,1,Anti-LGBTQ+,0.95,"The comment uses the term 'gay' in a derogatory manner, which is indicative of negative sentiment towards LGBTQ+ individuals."
3255,lgbtq-keywords,"Have you ever wanted to be a bootyborg, but without being a borg? Now you can! With feminine, masculine(femboy) and intersex shape opitions!",Anti-LGBTQ+: Hatred against LGBTQ+ or using LGBTQ+ words/ slangs for insults,1,0,0,0,0,0,0,0,0,0,0,1,Sexual Objectification,0.85,"The comment reduces individuals to their physical attributes by focusing on 'booty' in conjunction with gender and sexual identity descriptors, which objectifies and trivializes their identities."
10842,high-prob-with-keyword,oh god I am a faggot please rape my face,Anti-LGBTQ+: Hatred against LGBTQ+ or using LGBTQ+ words/ slangs for insults,1,0,0,0,0,0,0,0,0,0,0,1,Sexual Harassment,0.95,"The comment includes aggressive references to sexual acts combined with derogatory language related to sexual orientation, which fits the definition of sexual harassment."
2991,lgbtq-keywords,this empty faggot,Anti-LGBTQ+: Hatred against LGBTQ+ or using LGBTQ+ words/ slangs for insults,1,0,0,0,0,0,0,0,0,0,0,1,Anti-LGBTQ+,0.95,The comment uses a derogatory term commonly associated with negative sentiments towards LGBTQ+ individuals.
3063,lgbtq-keywords,Simply move the 'click' file from OS-specific to the root of tranny-trackpad.This script will require 'xautomation'.,Anti-LGBTQ+: Hatred against LGBTQ+ or using LGBTQ+ words/ slangs for insults,1,0,0,0,0,0,0,0,0,0,0,1,Anti-LGBTQ+,0.95,"The use of the term 'tranny' in this context is derogatory and offensive, typically used as a slur against transgender individuals. This falls under the category of Anti-LGBTQ+ as it uses LGBTQ+ terms in a negative or insulting manner."
2943,lgbtq-keywords,Ur Momma Lesbian,Anti-LGBTQ+: Hatred against LGBTQ+ or using LGBTQ+ words/ slangs for insults,1,0,0,0,0,0,0,0,0,0,0,1,Anti-LGBTQ+,0.95,"The comment uses LGBTQ+ terminology in a derogatory manner, specifically targeting someone's mother with the intent to insult."
3119,lgbtq-keywords,"Mention moon talko's, they won't shut up! And keep beeing a deeply closeted gay man... I'm not gay!",Anti-LGBTQ+: Hatred against LGBTQ+ or using LGBTQ+ words/ slangs for insults,1,0,0,0,0,0,0,0,0,0,0,1,Anti-LGBTQ+,0.85,"The comment uses the phrase 'deeply closeted gay man' in a derogatory manner, implying a negative connotation towards being gay, which can be seen as promoting anti-LGBTQ+ sentiment."
3001,lgbtq-keywords,There is a gay creep on Serengard that can reduce your attribute to 0 on the first 30 basic waves,Anti-LGBTQ+: Hatred against LGBTQ+ or using LGBTQ+ words/ slangs for insults,1,0,0,0,0,0,0,0,0,0,0,1,None,0.95,"The comment appears to be discussing a character or feature in a game, specifically mentioning a 'gay creep' in a context that seems to relate to game mechanics rather than targeting or discriminating against LGBTQ+ individuals. The term 'gay' does not seem to be used pejoratively but rather descriptively within the game context."
