CommentID,Dataset,comment,FinalLabels,target,Discredit,Stereotyping,Harassment,Dominance,Threats,Blaming,Maternal,Damning,Objectification,Appearance,AntiLGBTQ,Neutral_confidence,Discredit_confidence,Stereotyping_confidence,Sexual_Harassment_confidence,Threats_of_Violence_confidence,Maternal_Insults_confidence,Sexual_Objectification_confidence,Anti-LGBTQ+_confidence,Physical_Appearance_confidence,Damning_confidence,Dominance_confidence,Deflection_confidence,classification,reasoning
2307,high-prob-with-keyword,SAM6969 January 1 2022 OH so small thing Could someone check for things like the Headmistresses first reward the mandatory one and see if they can change the part where she calles the player a manwhore to the female one Im trans feme so I have my set up as Pet Feminine body but with a penis and I made sure it was that way before this happened and Id like to be degraded being called feminine things,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Neutral,Request for inclusivity.
2591,high-prob-with-keyword,Fix your bot is kinda gay i think,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.95,0,0,0,0,Anti-LGBTQ+,Derogatory term.
2643,high-prob-with-keyword,Dear pussyman You firmware sucks as I told you so You see how many people are saying the same thing nowlol Blocking me doesnt mean anything and your firmware is still suck also it shows that you are a coward Maybe hymen is more suitable lastname for you than your original onelol,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.9,0.92,0,0,0.88,0,0,"Sexual_Objectification, Maternal_Insults, Damning",Insults and objectification.
2767,lgbtq-keywords,What I expected To toolbox the clown while calling him a faggot What I got Having to click on the chat bar between tool boxing his sorry shitty ass face in,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.98,0,0,0,0,Anti-LGBTQ+,Hate speech.
2769,lgbtq-keywords,WEB REPORT BY originalbubsra REMOTE 2062211801387777  Revision 1badcae66dfbc06c8217db0c3306f0e381dbcb1c  Description Juke is fucked  Steps to Reproduce Attempt to play the theme from cheers on the jukebox  What you Expected Making my way in the world today being in a place where everybody knows my name  What Actually Happened some faggot ass music instead,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.96,0,0,0,0,Anti-LGBTQ+,Derogatory term.
2771,lgbtq-keywords,Update chapter1 to be more faggot,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Anti-LGBTQ+,Derogatory LGBTQ+ term used.
2773,lgbtq-keywords,UNBLOCK ME ON DISCORD FAGGOT,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.8,0,0,1,0,0,0,0,"Anti-LGBTQ+, Threats_of_Violence",Derogatory term and command.
2775,lgbtq-keywords,U fuckin faggot I swear to God Ill find u,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,"Anti-LGBTQ+, Threats_of_Violence",Direct threat and slur.
2777,lgbtq-keywords,trump is the reincarnation of jesus you stupid faggot,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0.9,0,0,0,0,0,1,0,0,0,0,"Anti-LGBTQ+, Discredit",Insult and demeaning language.
2779,lgbtq-keywords,to text like this  nameFaggot Pussy id13376969 pwdpU55y noteshoe,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0.8,0,0,0,0,0.7,1,0,0,0,0,"Anti-LGBTQ+, Discredit, Sexual_Objectification","Multiple derogatory terms used. 

Note: The provided classifications and reasoning are examples and may not reflect real-world, optimal classifications. They are intended to demonstrate the format and thought process. 

Please classify the following comment according to the guidelines provided:"
