CommentID,Dataset,comment,FinalLabels,target,Discredit,Stereotyping,Harassment,Dominance,Threats,Blaming,Maternal,Damning,Objectification,Appearance,AntiLGBTQ
1,high-prob-with-keyword,After lots of iteration on the right way to expose this stuff I think I landed on the simplest possible solution that likely wont need huge refactoring in the nearterm Going over this with ADAM tomorrow but wanted to get this out with plenty of time for feedback before I leave for a week The documentationcomments are sorely lacking and theres a couple simple TODOs Im going to address these tomorrow so no need to prod too much on that,None,0,0,0,0,0,0,0,0,0,0,0,0
2,high-prob-with-keyword,in the customer churn table change the value of female as 1 and male as 0,None,0,0,0,0,0,0,0,0,0,0,0,0
3,high-prob-with-keyword,If i am an old lady who may doesnt have good sights I may need walk closer to see the bullentin board So I suggest if the size of letter can become larger would be grateful,None,0,0,0,0,0,0,0,0,0,0,0,0
4,high-prob-with-keyword,We need to create a user input field so we know weather to generate a male or female identity,None,0,0,0,0,0,0,0,0,0,0,0,0
5,high-prob-with-keyword,Why are there 3 different male and 2 female categories Is it case sensitivity issue 2 Interpretation,None,0,0,0,0,0,0,0,0,0,0,0,0
6,high-prob-with-keyword,Father i require more juice see keybindsjson and voila,None,0,0,0,0,0,0,0,0,0,0,0,0
7,high-prob-with-keyword,Where are the business women,None,0,0,0,0,0,0,0,0,0,0,0,0
8,high-prob-with-keyword,Update Home Page with Header The home page needs to have a header which says Coding Black Females Community,None,0,0,0,0,0,0,0,0,0,0,0,0
9,high-prob-with-keyword,Seriously My niece is 6 and can use bbcode better than you guys,None,0,0,0,0,0,0,0,0,0,0,0,0
10,high-prob-with-keyword,Raycast Girl Looking at Cameras so girl can see you if you shoot out of camera she is facing,None,0,0,0,0,0,0,0,0,0,0,0,0
11,high-prob-with-keyword,Not an issue but a request Would like a skin without the skirt since 2B looks much wider with the skirt it looks as if the skirt tried to extend to the sides Thanks,None,0,0,0,0,0,0,0,0,0,0,0,0
12,high-prob-with-keyword,Localize for WWP Yay Women Who WP,None,0,0,0,0,0,0,0,0,0,0,0,0
13,high-prob-with-keyword,Ignore this please I was having a blonde moment,None,0,0,0,0,0,0,0,0,0,0,0,0
14,high-prob-with-keyword,httpi5walmartimagescomdfwdce07b8cf897k2_4a0e9d51e2c94316a7b61ce21dfc8bb2v2jpg The game needs her syrupy goodness,None,0,0,0,0,0,0,0,0,0,0,0,0
15,high-prob-with-keyword,damn that lil woofer is too cute i think i haz cuteness overload,None,0,0,0,0,0,0,0,0,0,0,0,0
16,high-prob-with-keyword,Aunt Jemima is a female character Add the female attributes to her,None,0,0,0,0,0,0,0,0,0,0,0,0
17,high-prob-with-keyword,added license i do this because stella is lazy,None,0,0,0,0,0,0,0,0,0,0,0,0
18,high-prob-with-keyword,added conditionals to grandmarb shes still pretty deaf unfortunately,None,0,0,0,0,0,0,0,0,0,0,0,0
19,high-prob-with-keyword,Add Organization  Vue Vixens Add Vue Vixens  Vue Vixens are foxy people who identify as women and who want to learn Vuejs to make websites and mobile apps,None,0,0,0,0,0,0,0,0,0,0,0,0
20,high-prob-with-keyword,IN5A IN5B IN6 completed and added to framework Great team work ladies,None,0,0,0,0,0,0,0,0,0,0,0,0
21,lgbtq-keywords,Volunteer Orientation Seattle Lesbian  Gay Film Festival,None,0,0,0,0,0,0,0,0,0,0,0,0
22,lgbtq-keywords,Would be cool to add a flag that if the bio contains the transgender flag or pronouns the script fails,None,0,0,0,0,0,0,0,0,0,0,0,0
23,lgbtq-keywords,When introducing the US womens movement you recognize from the outset the drawbacks and criticism facing this wave lens of analysis It appears that this framework effectively highlights a social movement form as shaped by the white middleclass women Yet in the US there is a long track record of white activists reengineering or rebranding or reprioritizing social movement forms in which working class peoplepeople of color had already completed significant amounts of organizing and work  to make the movement more palatable to white mainstream America For example Gay Liberation was overhauled as a gay rights movement and priorities shifted from universal healthcare and antiracism to samesex marriage Was it a concern for you that using this framework of analysis possibly over emphasizes the contributions of white feminist activists and organizations How did you reconcile using the wave framework while still attempting to capture a representative essence of the movement,None,0,0,0,0,0,0,0,0,0,0,0,0
24,lgbtq-keywords,when data is queered from the serve array of categories id is generated,None,0,0,0,0,0,0,0,0,0,0,0,0
25,lgbtq-keywords,When a guy hooks up with a lot of girls hes a player But when I do it Im a lesbian,None,0,0,0,0,0,0,0,0,0,0,0,0
99,lgbtq-keywords,If I am not mistaken homosexual behavior has been documented in many species from bonobos to mosquitoes It seems I am correct,None,0,0,0,0,0,0,0,0,0,0,0,0
100,lgbtq-keywords,I was struck by their incredible resilience joy and determination in fighting for their LGBTQ rights in a country where homosexuality is still illegal I wanted to make something that simply told their story about strength life and a need to love freely in Freetown,None,0,0,0,0,0,0,0,0,0,0,0,0
101,lgbtq-keywords,I tried to push an updated survey_immigration based on surveys used in gay rights project httpsgithubcomfsoltdcpo_gayrightsissues4 but I was forbidden to push,None,0,0,0,0,0,0,0,0,0,0,0,0
102,lgbtq-keywords,I think it would be good to have definitions for the following  Queer  Nonbinary  Asexual  Aromantic  Allosexual  Alloromantic  NeurotypicalNeuroatypical  Body Positivity or something relating to sizeism anyway  could also include fat shaming siziesim thin privilige  Invisible Illness Im sure Im missing some other ones but I think these would make great additions to our shiny new glossary ,None,0,0,0,0,0,0,0,0,0,0,0,0
