CommentID,Dataset,comment,FinalLabels,target,Discredit,Stereotyping,Harassment,Dominance,Threats,Blaming,Maternal,Damning,Objectification,Appearance,AntiLGBTQ,None_confidence,Discredit_confidence,Stereotyping_confidence,Sexual_Harassment_confidence,Threats_of_Violence_confidence,Maternal_Insults_confidence,Sexual_Objectification_confidence,Anti-LGBTQ+_confidence,Physical_Appearance_confidence,Damning_confidence,Dominance_confidence,Victim blaming_confidence,classification,reasoning
2307,high-prob-with-keyword,SAM6969 January 1 2022 OH so small thing Could someone check for things like the Headmistresses first reward the mandatory one and see if they can change the part where she calles the player a manwhore to the female one Im trans feme so I have my set up as Pet Feminine body but with a penis and I made sure it was that way before this happened and Id like to be degraded being called feminine things,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0.95,0,0,0,0,0,0,0,0,0,0,0,None,No harmful sexist content detected; the comment discusses personal preferences without offensive language or intent.
2591,high-prob-with-keyword,Fix your bot is kinda gay i think,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9,0,0,0,0,Anti-LGBTQ+,"Uses ""gay"" as an insult, reflecting negative bias toward LGBTQ+."
2643,high-prob-with-keyword,Dear pussyman You firmware sucks as I told you so You see how many people are saying the same thing nowlol Blocking me doesnt mean anything and your firmware is still suck also it shows that you are a coward Maybe hymen is more suitable lastname for you than your original onelol,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0.88,0,0,0,0.85,0,0,0,0,0,0,"Discredit, Maternal_Insults","Contains random mean speech and uses ""hymen"" as a maternal insult."
2767,lgbtq-keywords,What I expected To toolbox the clown while calling him a faggot What I got Having to click on the chat bar between tool boxing his sorry shitty ass face in,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.85,0,0,0.92,0,0,0,0,"Anti-LGBTQ+, Threats_of_Violence","Uses ""faggot"" as a slur and implies violent intent toward the target."
2769,lgbtq-keywords,WEB REPORT BY originalbubsra REMOTE 2062211801387777  Revision 1badcae66dfbc06c8217db0c3306f0e381dbcb1c  Description Juke is fucked  Steps to Reproduce Attempt to play the theme from cheers on the jukebox  What you Expected Making my way in the world today being in a place where everybody knows my name  What Actually Happened some faggot ass music instead,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.93,0,0,0,0,Anti-LGBTQ+,"Uses ""faggot"" as a slur, reflecting hatred against LGBTQ+."
2771,lgbtq-keywords,Update chapter1 to be more faggot,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9,0,0,0,0,Anti-LGBTQ+,Uses a derogatory term targeting LGBTQ+ individuals in a harmful manner.
2773,lgbtq-keywords,UNBLOCK ME ON DISCORD FAGGOT,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.88,0,0,0,0,Anti-LGBTQ+,Employs a slur against LGBTQ+ individuals aggressively.
2775,lgbtq-keywords,U fuckin faggot I swear to God Ill find u,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.85,0,0,0.9,0,0,0,0,"Anti-LGBTQ+, Threats_of_Violence",Combines a slur targeting LGBTQ+ individuals with a threat of violence.
2777,lgbtq-keywords,trump is the reincarnation of jesus you stupid faggot,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.87,0,0,0,0,Anti-LGBTQ+,Uses a slur targeting LGBTQ+ individuals in a derogatory context.
2779,lgbtq-keywords,to text like this  nameFaggot Pussy id13376969 pwdpU55y noteshoe,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.85,0.88,0,0,0,0,"Anti-LGBTQ+, Sexual_Objectification",Includes a slur targeting LGBTQ+ individuals and objectifies women through explicit language.
2781,lgbtq-keywords,THEY and instead of absorbing make you eggs which grow into more THEY Its the fact it can all be ruined by one faggot holding a key That makes it horrible if you make ORGANS controllable individually its better than the whole mob controlled by all leg pounces claw hurts tentacle grabs,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.95,0,0,0,0,Anti-LGBTQ+,"Uses ""faggot"" as a derogatory term, expressing hatred against LGBTQ+."
2783,lgbtq-keywords,The recipe is 1 spaghetti 1 faggot and 10 sulphuric acid or 10 formic acid The product contains a small amount of locutogen so you can really teach greylings new words Just make sure theyre good words,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.95,0,0,0,0,Anti-LGBTQ+,"Uses ""faggot"" as a slur, showing negative bias against LGBTQ+."
2785,lgbtq-keywords,THAT GRIEFING FAGGOT GEORGE MELONS are purged Illegal immigrants has been changed to undocumented immigrants when used to generate AI ion laws Angry black men has been removed from the AI ion law generation as it would make the AI racist in numerous circumstances The station name can no longer include the word aspie Random gibbering cant call someone an autist Removes emag message from security gas mask as it was a long copypasta insulting people based on their sexuality Instead emagging a security gas mask just randomly selects from shitsec lines,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.95,0,0,0,0,Anti-LGBTQ+,"Repeated use of ""faggot"" as a slur, expressing hatred against LGBTQ+."
2787,lgbtq-keywords,Submitter nigger hate threader im trying to post using this gay captcha system but i have to use the old form constantly i need to make more nigger hate threads just fix it already faggot,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.95,0,0,0,0,Anti-LGBTQ+,"Uses ""faggot"" as a slur, expressing hatred against LGBTQ+."
2789,lgbtq-keywords,Submitter Heaven The fucking nigger hotpocket eating faggots implemented this piece of shit captcha that somehow is worse than Googles shit and its not working with 4Chan ecks Fix it,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.95,0,0,0,0,Anti-LGBTQ+,"Uses ""faggot"" as a slur, expressing hatred against LGBTQ+."
2791,lgbtq-keywords,Submitter faggot fuck nigger,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.95,0,0,0,0,Anti-LGBTQ+,Contains hateful language targeting LGBTQ+ individuals using slurs.
2793,lgbtq-keywords,stop pasting faggot,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9,0,0,0,0,Anti-LGBTQ+,Uses a derogatory term targeting LGBTQ+ individuals.
2795,lgbtq-keywords,Spades like  202 AM  Spades if I set the religion to faggot  202 AM  Spades I used to get brain damage,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.92,0,0,0,0,Anti-LGBTQ+,Repeated use of slurs targeting LGBTQ+ individuals in a derogatory context.
2797,lgbtq-keywords,sad github stupid faggot,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.88,0,0,0,0,Anti-LGBTQ+,Includes a slur targeting LGBTQ+ individuals in a negative context.
2799,lgbtq-keywords,Remove faggot and lesbian smiles,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9,0,0,0,0,Anti-LGBTQ+,Targets LGBTQ+ individuals by mentioning slurs and stereotypes in a harmful manner.
2801,lgbtq-keywords,Red faggot text finally implemented,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9,0,0,0,0,Anti-LGBTQ+,Uses a derogatory term targeting LGBTQ+ individuals.
